,Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9
0,cucumber,cream,carrot,salmon,cream,masala,broth,scallion,oat,jalapeno
1,lettuce,cheddar,tomato,egg,lemon,tomato,thigh,tomato,orange,cheese
2,potato,pasta,pea,garlic,milk,chilies,mushroom,broth,banana,lentil
3,mayonnaise,onion,wine,rice,chicken,fish,butter,sesame,wheat,garlic
4,onion,garlic,onion,wine,garlic,potato,tomato,chicken,yeast,celery
5,tomato,egg,lemon,onion,tomato,garlic,lemon,garlic,milk,chicken
6,lemon,tomato,potato,cod,onion,onion,onion,soy,butter,carrot
7,bread,mozzarella,garlic,lemon,masala,milk,wine,onion,egg,onion
8,avocado,parmesan,chop,fish,greek,curry,garlic,vegetable,sugar,tomato
9,garlic,cheese,lamb,fillet,yogurt,coconut,chicken,rice,flour,bean
